ID,Publication Type,Article Title,Source Title,Conference Title,Abstract
209,J,Information extraction from medical case reports using OpenAI InstructGPT,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,"Background and objective: Researchers commonly use automated solutions such as Natural Language Processing (NLP) systems to extract clinical information from large volumes of unstructured data. However, clinical text's poor semantic structure and domain-specific vocabulary can make it challenging to develop a one-size-fits-all solution. Large Language Models (LLMs), such as OpenAI's Generative Pre-Trained Transformer 3 (GPT-3), offer a promising solution for capturing and standardizing unstructured clinical information. This study evaluated the performance of InstructGPT, a family of models derived from LLM GPT-3, to extract relevant patient information from medical case reports and discussed the advantages and disadvantages of LLMs versus dedicated NLP methods. Methods: In this paper, 208 articles related to case reports of foreign body injuries in children were identified by searching PubMed, Scopus, and Web of Science. A reviewer manually extracted information on sex, age, the object that caused the injury, and the injured body part for each patient to build a gold standard to compare the performance of InstructGPT. Results: InstructGPT achieved high accuracy in classifying the sex, age, object and body part involved in the injury, with 94%, 82%, 94% and 89%, respectively. When excluding articles for which InstructGPT could not retrieve any information, the accuracy for determining the child's sex and age improved to 97%, and the accuracy for identifying the injured body part improved to 93%. InstructGPT was also able to extract information from non-English language articles. Conclusions: The study highlights that LLMs have the potential to eliminate the necessity for task-specific training (zero-shot extraction), allowing the retrieval of clinical information from unstructured natural language text, particularly from published scientific literature like case reports, by directly utilizing the PDF file of the article without any pre-processing and without requiring any technical expertise in NLP or Machine Learning. The diverse nature of the corpus, which includes articles written in languages other than English, some of which contain a wide range of clinical details while others lack information, adds to the strength of the study."
210,J,Cyberattack event and arguments extraction based on feature interaction and few-shot learning,SCIENTIFIC REPORTS,,"Cyber Threat Intelligence (CTI) serves as a crucial indicator of cybersecurity events, providing critical evidence for analyzing cyberattacks and vulnerabilities. While existing deep learning approaches have shown value in processing urgent CTI data, accurately extracting cybersecurity event types and their associated arguments remains challenging due to CTI's inherent complexity and data scarcity. Moreover, the lack of a large-scale annotated corpus in the cybersecurity domain prevents direct application of large language models (LLMs) to surpass the current methods' performance. To enhance CTI information extraction efficiency, we propose the Cyber Attack Feature Interaction Information Extraction (CAFIIE) method. Our investigation reveals prevalent latent deep features in CTI threat entity interactions. Consequently, we implement multi-layer shallow feature interactions to capture these latent characteristics of threat entities and their relations. The CAFIIE model is further fine-tuned through few-shot learning to improve CTI feature utilization efficiency, making it particularly suitable for data-limited cybersecurity scenarios. Through experiments on three public and one private datasets, the CAFIIE method demonstrates superior accuracy and F1-score performance compared to existing baseline methods."
211,J,Evaluating large language models for structuring cardiology reports: a real-world clinical study on patient subtyping and trial recruitment,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,,"Background: Artificial Intelligence (AI) methods have emerged as useful tools for supporting patient recruitment in clinical trials (CTs). Despite several studies having recently proposed promising applications of Large Language Model (LLMs) for patient recruitment in CTs, their implementation in routine clinical practice remains limited. Methods: In this study, we present a comprehensive pipeline, developed and tested in a real-world clinical setting, to obtain highly detailed patient subtyping and eligibility assessment for specific CTs. Our solution leverages cardiological discharge letters, a rich yet underutilized source of patient data, to extract detailed structured clinical information through LLMs. Patient subtyping and eligibility assessment are performed through a rulebased approach, based on the extracted information, to maximize deterministic and interpretable outputs. We employed OpenAI's GPT-4.1 within the cloud-based service Microsoft Azure Machine Learning Studio, deployed in the hospital infrastructure. Validation was conducted on a sample of 100 discharge letters through exactmatch comparison between the model's output and a ground-truth template, pre-populated by expert clinicians. Results: Our results confirm the feasibility and effectiveness of the proposed approach in real-world clinical scenarios. GPT-4.1 achieved high values of information extraction accuracy for most clinical variables (0.94 +/- 0.08), resulting in a limited number of false negatives (FN) and false positives (FP) in both patient subtyping (0.12 and 0.13, respectively) and eligibility assessment. At the criterion-level, the proportion of FNs and FPs was below 3% for most criteria (13 and 11 of the 14 criteria examined, respectively). Conclusion: Overall, our study presents a notable step towards the integration of AI-driven approaches into realworld clinical practice for patient recruitment in CTs, highlighting both its practicality and effectiveness in meeting the stringent demands of healthcare settings."
212,C,LUCI: Lightweight UI Command Interface,"PROCEEDINGS OF THE 26TH ACM SIGPLAN/SIGBED INTERNATIONAL CONFERENCE ON LANGUAGES, COMPILERS, AND TOOLS FOR EMBEDDED SYSTEMS, LCTES 2025",26th International Conference on Languages Compilers and Tools for Embedded Systems-LCTES-Annual,"Modern embedded systems are powered by increasingly powerful hardware and are increasingly reliant on Artificial Intelligence (AI) technologies for advanced capabilities. Large Language Models (LLMs) are now being widely used to enable the next generation of human-computer interaction. While LLMs have shown impressive task orchestration capabilities, their computation complexity has limited them to run on the cloud - which introduces internet dependency and additional latency. While smaller LLMs (< 5B parameters) can run on modern embedded systems such as smartwatches and phones, their performance in UI-interaction and task orchestration remains poor. In this paper we introduce LUCI:Lightweight UI Command Interface. LUCI follows a separation of tasks structure by using a combination of LLM agents and algorithmic procedures to accomplish sub-tasks while using a high-level level LLM-Agent with rule-based checks to orchestrate the pipeline. LUCI addresses the limitations of previous In-Context learning approaches by incorporating a novel semantic information extraction mechanism that compresses the frontend code into a structured intermediate Information-Action-Field (IAF) representation. These IAF representations are then used by an Action Selection LLM. This compression allows LUCI to have a much larger effective context window along with better grounding due to the context information in IAF. Pairing our multi-agent pipeline with our IAF representations allows LUCI to achieve similar task success rates as GPT-4Von the Mind2Web benchmark, while using 2.7Bparameter text-only PHI-2 model. When testing with GPT 3.5, LUCI shows a 20% improvement in task success rates over the state-of-the-art (SOTA) on the same benchmarks."
213,J,Prompt Engineering Accelerates the Data-Driven Discovery of Photocatalysts via an LLM-Based Model Ensemble Strategy,ADVANCED SCIENCE,,"The overwhelming volume of unstructured scientific literature presents a fundamental bottleneck to materials discovery, where critical data on synthesis and properties remain locked in text. Here, a closed-loop framework that integrates automated knowledge extraction with interpretable machine learning and targeted experimental validation is presented. This approach is centered on a novel data extraction pipeline, which combines a prompt-engineered large language model with a model ensemble strategy, systematically optimized to interpret complex materials science narratives. When deployed to construct a database for defect-engineered carbon nitride photocatalysts, the system achieved 90% accuracy and recall for key parameters. Analysis of the high-fidelity dataset enabled reliable machine learning models to identify specific surface area (170 m2 g-1) and bandgap (approximate to 2.31 eV) as dominant performance parameters. Crucially, SHapley Additive exPlanations analysis elucidated a non-monotonic relationship for bandgap, identifying an optimal range of 2.2-2.4 eV and quantifying the fundamental trade-off between light absorption and charge recombination. These data-driven insights guided the synthesis of representative materials, with experimental hydrogen evolution rates deviating by less than 5% from predictions. This work establishes a scalable and transferable paradigm, transforming fragmented literature into actionable intelligence and offering a powerful strategy for accelerating the development of functional materials."
214,J,MedPromptExtract (Medical Data Extraction Tool): Anonymization and High-Fidelity Automated Data Extraction Using Natural Language Processing and Prompt Engineering,JOURNAL OF APPLIED LABORATORY MEDICINE,,"Background The labor-intensive nature of data extraction from sources like discharge summaries (DSs) poses significant obstacles to the digitization of medical records particularly for low- and middle-income countries (LMICs). In this paper we present a completely automated method, MedPromptExtract, to efficiently extract data from DS while maintaining confidentiality.Methods The source of data were DSs from Kokilaben Dhirubhai Ambani Hospital (KDAH) of patients having acute kidney injury (AKI). A pre-existing tool, Expert-Informed Joint Learning aGgrEatioN (EIGEN), which leverages semi-supervised learning techniques for high-fidelity information extraction, was used to anonymize the DSs, and natural language processing (NLP) was used to extract data from regular fields. We used prompt engineering and a large language model (LLM) to extract custom clinical information from free-flowing text describing the patient's stay in the hospital. Twelve features associated with the occurrence of AKI were extracted. The LLM's responses were validated against clinicians' annotations.Results The MedPromptExtract tool first subjected DSs to the anonymization pipeline, which took 3 seconds per summary. Successful anonymization was verified by clinicians, thereafter the NLP pipeline extracted structured text from the anonymized pdfs at the rate of 0.2 s per summary with 100% accuracy. Finally, DSs were analysed by the LLM pipeline using Gemini Pro for the 12 features. Accuracy metrics were calculated by comparing model responses to clinicians' annotations with 7 features achieving Area Under the Curve (AUC) above 0.9, indicating the high fidelity of the extraction process.Conclusions MedPromptExtract serves as an automated adaptable tool for efficient data extraction from medical records with a dynamic user interface."
215,C,A Deep Reinforcement Learning Approach for Portfolio Optimization of Brazilian Assets Using Fundamental and Sentiment Indicators,"2025 IEEE 49TH ANNUAL COMPUTERS, SOFTWARE, AND APPLICATIONS CONFERENCE, COMPSAC","49th Computers, Software and Applications Conference-COMPSAC","The Brazilian capital market presents unique challenges for portfolio optimization due to its volatility and information asymmetries. This paper proposes a Deep Reinforcement Learning (DRL) framework that integrates fundamental indicators, Portuguese-language news sentiment (via Gemini Pro), and market data (prices, volume). Five DRL algorithms (A2C, PPO, DDPG, TD3, SAC) were trained and evaluated across three feature scenarios using performance metrics such as Sharpe Ratio, Annual Return, and Maximum Drawdown. News sentiment classification and entity extraction were performed using Gemini Pro LLM. Statistical validation over 44 executions, including Shapiro-Wilk and Kruskal-Wallis tests, showed no significant differences among DRL methods. However, all DRL approaches outperformed the Ibovespa index and uniform Buy- and-Hold benchmark, highlighting the value of combining DRL with localized and diverse data sources for portfolio optimization in emerging markets."
216,J,A general LLM-powered text mining framework: Applied to extract high entropy alloys,COMPUTATIONAL MATERIALS SCIENCE,,"In this paper, we present a general framework for automating the information extraction process from materials science literature. Our aim is to meet the increasing demand for large-scale databases in both research and engineering. The text mining part consists of three continuous stages: labeling, extraction, and post-processing, which are all powered by large language models (LLMs). Through these successive stages, the framework enables the extraction of material data from both text and tables. It supports the generation of high-quality databases with only a moderate level of prior knowledge about the extraction targets and minimal coding effort, thereby facilitating the rapid development of data-driven models from the ground up. The Framework was applied to high entropy alloys (HEAs) research papers and constructed a comprehensive database of 5393 records encompassing mechanical properties, phase information, and processing histories. Such a database provides a valuable foundation for investigating process-structure-property relationships in alloys, which may support both mechanistic understanding and data-driven design. To assess the quality of the database, we also trained machine learning models to accurately predict phase and yield strength. Our database of HEAs provides a rich resource for future data-driven design of new alloy materials."
217,C,Extracting References from German Legal Texts Using Named Entity Recognition,"PROCEEDINGS OF THE 35TH INTERNATIONAL CONFERENCE ON LEGAL KNOWLEDGE AND INFORMATION SYSTEMS, JURIX 2022",35th International Conference on Legal Knowledge and Information Systems-JURIX,"Information extraction tasks are particularly challenging in specific contexts such as the legal domain. In this paper, Named Entity Recognition is used to make legal texts more accessible to domain experts and laymen. This paper focuses on extracting law references and citations of court decisions, which occur in various syntactic formats. To investigate this task a reference data set is constructed from a large collection of German court decisions and different NER-techniques are compared. Pattern matching, probabilistic sequence labeling (CRF), Deep Learning (BiLSTM) and transfer learning using a pretrained language model (BERT) are applied to extract references to laws and court decisions. The results show that the BERT based approach achieves F1 scores around 0.98 for both tasks and outperforms methods from prior work, which achieve F1 scores of 0.89 (CRF for law references) respectively 0.82 (CRF for court decisions) on the same data set."
218,C,Cross-DomainWeb Information Extraction at Pinterest,"PROCEEDINGS OF THE 31ST ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING V.2, KDD 2025",31st International Conference on Knowledge Discovery and Data Mining-KDD,"The internet offers a massive repository of unstructured information, but it's a significant challenge to convert this into a structured format. At Pinterest, the ability to accurately extract structured product data from e-commerce websites is essential to enhance user experiences and improve content distribution. In this paper, we present Pinterest's system for attribute extraction, which achieves remarkable accuracy and scalability at a manageable cost. Our approach leverages a novel webpage representation that combines structural, visual, and text modalities into a compact form, optimizing it for small model learning. This representation captures each visible HTML node with its text, style and layout information. We show how this allows simple models such as eXtreme Gradient Boosting (XGBoost) to extract attributes more accurately than much more complex Large Language Models (LLMs) such as Generative Pre-trained Transformer (GPT). Our results demonstrate a system that is highly scalable, processing over 1,000 URLs per second, while being 1000 times more cost-effective than the cheapest GPT alternatives."
219,J,Heterogeneous graph prompt for Community Question Answering,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,,"Compared with general question answering, Community Question Answering (CQA), which has been widely used in various scenarios like E-commerce and is well welcomed. In order to answer the user's question precisely, many CQA models resort to external knowledge sources such as Wikipedia. The main challenge of the task is knowledge extraction and utilization. Different from the traditional method of designing task-specific knowledge modules, we propose a graph prompt-based learning method that directly steers the pretrained language model to solve CQA tasks. Multiple information sources are organized as graph prompts to guide the generation of the model, naturally leveraging the knowledge learned in the pretrained step. Based on the pretrained bidirectional and autoregressive transformers, a large-scale language model, a comparable performance is achieved with less than 10% of the full-finetuning time by only optimizing the graph prompt parameters. Experiments on two standard CQA datasets show that compared with traditional sequential initialized prompts, graph prompt achieves 20.47% and 14.89% increments in terms of BLEU and ROUGE-L scores on quick finetuning and outperforms in few-shot learning."
220,J,Extraction of temporal information from social media messages using the BERT model,EARTH SCIENCE INFORMATICS,,"Temporal information extraction from social media messages is of critical importance to several geographical applications. Combined with the characteristics of temporal information descriptions in Chinese text, different time expression patterns formed by time unit combinations are summarized. A deep learning-based information extraction algorithm (named BERT-BiLSTM-CRF) for automatically extracting temporal information from social media messages is proposed. Based on the bidirectional long short-term memory-conditional random field (BiLSTM-CRF) model, the BERT (bidirectional encoder representations from transformers) pretrained language model was used to enhance the generalization ability of the word vector model to capture long-range contextual information; then, the trained word vector was input into the BiLSTM-CRF model for further training. The proposed model was then evaluated on the constructed corpus, a set of manually annotated Chinese texts from social media messages. Among the basic models, the BERT-BiLSTM-CRF achieved the highest average F1-score of 85%. The experimental results show that the proposed method outperforms the current state-of-the-art models."
221,C,HiDReader: Human-Inspired Document Reading Agent via Reinforcement Learning,"DOCUMENT ANALYSIS AND RECOGNITION-ICDAR 2025, PT I",19th International Conference on Document Analysis and Recognition-ICDAR-Annual,"Despite the remarkable progress made by large language models (LLMs) in natural language understanding, they still struggle to effectively comprehend visually-rich documents (VRDs) that demand complex semantic analysis. This paper introduces HiDReader, the first reinforcement learning-based framework designed to emulate human-like reading processes for visually-rich document comprehension. By integrating LLMs with specialized document understanding models, HiDReader leverages a self-optimizing, data-driven reading sequence mechanism that mimics human learning patterns rather than relying on traditional rule-based or fixed parsing strategies. Through iterative self-supervised learning, HiDReader dynamically adapts its reading path based on contextual cues and task-specific goals, refining its approach in a way that mirrors the adaptability of human cognition. Experimental results on two benchmark tasks demonstrate that HiDReader outperforms baseline methods in both document information extraction and question answering. Moreover, in cross-domain transfer learning scenarios, it showcases significant adaptability, autonomously extracting characteristic reading patterns from VRDs, thereby achieving superior performance in zero-shot domain adaptation tasks compared to conventional approaches."
222,J,Data Augmentation and Large Language Model for Legal Case Retrieval and Entailment,REVIEW OF SOCIONETWORK STRATEGIES,,"The Competition on Legal Information Extraction and Entailment (COLIEE) is a well-known international competition organized each year with the goal of applying machine learning algorithms and techniques in the analysis and understanding of legal documents. Two main applications of using machine learning in this domain are entailment and information retrieval. In the realm of legal text analysis, the scarcity of annotated data poses a significant challenge for training robust models. To address this limitation, we employ data augmentation methods to artificially expand the training dataset, enhancing the model's ability to generalize across diverse legal contexts. Additionally, our approach harnesses the power of a state-of-the-art language model, enabling the extraction of nuanced legal information and improving entailment predictions. We evaluate the performance of our methodology on datasets from the competition, showcasing its effectiveness in achieving competitive results."
223,J,Automatic XPath generation agents for vertical websites by LLMs,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,,"Extracting structured data from web pages has long been a challenging research topic, particularly for domain-specific data on vertical websites. The advent of large language models (LLMs) has introduced new possibilities for this task, enabling high-accuracy information extraction from individual pages. However, due to the substantial costs associated with LLMs, this approach is often economically impractical and difficult to scale in industrial applications. To address these challenges we propose a new framework that leverages a multi-task decomposition strategy, enabling LLMs, despite their limitations in handling structured information, to learn robust XPath expressions from seed pages and apply them to unseen web pages. Experimental results on various structured web data extraction datasets demonstrate that this framework achieves state-of-the-art accuracy for vertical websites with minimal LLM interactions. Furthermore, our approach significantly outperforms the top prompting-based methods, Reflexion and COT, improving F1 scores ranging from 14.84 to 23.86 percentage points across multiple datasets. The proposed framework not only boosts the accuracy and efficiency of structured data extraction from vertical websites, but also holds promise for adaptation across a range of industrial applications focused on extracting information from hierarchical data."
224,J,Machine learning: from perovskite materials to devices,SOLAR ENERGY,,"To address the growing need for efficient and sustainable energy solutions, this review focuses on the integration of machine learning (ML) into perovskite materials research, which has become increasingly important due to the materials' tunable structures and excellent optoelectronic properties. Traditional experimental methods struggle with the complexity of perovskite systems, highlighting the need for data-driven approaches. This work systematically summarizes ML applications in perovskite materials and devices, with an emphasis on interpretability, reproducibility, and practical deployment. Key innovations include the use of Shapley Additive explanations (SHAP) to improve model transparency, the adoption of the MatBench benchmark dataset for standardized model assessment, and the promotion of open, interactive ML workflows through platforms like Jupyter Notebook. Furthermore, this review explores the emerging role of large language models in materials science, offering new avenues for knowledge extraction and intelligent analysis. By bridging materials research with modern ML tools, this work provides a timely reference and practical guide for advancing the design and optimization of perovskite optoelectronic devices."
225,C,Smarter Extraction of Scholarly Metadata using Knowledge Graphs and Language Models,"2025 ACM/IEEE JOINT CONFERENCE ON DIGITAL LIBRARIES, JCDL",25th ACM/IEEE Joint Conference on Digital Libraries-JCDL,"Scholarly metadata is an essential element in the scholarly ecosystem, empowering discovery, interoperability, and provenance and its efficacy relies on metadata quality and coverage. However, with the substantial increase in the number and diversity of research artifacts over time, it has become a cumbersome task to harvest metadata features for scholarly publications, datasets, source code, and machine learning models. These artifacts generate heterogeneous metadata features, which are distributed across various repositories. In addition, large language models (LLMs) have emerged as powerful tools and are now being extensively adopted to facilitate a wide range of tasks across domains, ranging from information extraction to knowledge graphs. Nevertheless, numerous open questions persist regarding their adoption in diversified research disciplines, especially concerning their accuracy, robustness, biases, and societal impact when applied in the context of research metadata, scholarly information extraction, and open science. This workshop aims to cover these exciting aspects centered around metadata features from research artifacts, with a focus on large language models and knowledge graphs."
226,C,Leveraging Prompt-Learning for Structured Information Extraction from Crohn's Disease Radiology Reports in a Low-Resource Language,PROCEEDINGS OF THE 6TH CLINICAL NATURAL LANGUAGE PROCESSING WORKSHOP,6th Clinical Natural Language Processing Workshop-ClinicalNLP,"Automatic conversion of free-text radiology reports into structured data using Natural Language Processing (NLP) techniques is crucial for analyzing diseases on a large scale. While effective for tasks in widely spoken languages like English, generative large language models (LLMs) typically underperform with less common languages and can pose potential risks to patient privacy. Fine-tuning local NLP models is hindered by the skewed nature of realworld medical datasets, where rare findings represent a significant data imbalance. We introduce SMP-BERT, a novel prompt learning method that leverages the structured nature of reports to overcome these challenges. In our studies involving a substantial collection of Crohn's disease radiology reports in Hebrew (over 8,000 patients and 10,000 reports), SMP-BERT greatly surpassed traditional finetuning methods in performance, notably in detecting infrequent conditions (AUC: 0.99 vs 0.94, F1: 0.84 vs 0.34). SMP-BERT empowers more accurate AI diagnostics available for low-resource languages."
227,J,Knowledge extraction for additive manufacturing process via named entity recognition with LLMs,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,"This paper proposes a novel NER framework, leveraging the advanced capabilities of Large Language Models (LLMs), to address the limitations of manually defined taxonomy. Our framework integrates the expert knowledge internalized in both academic materials and LLMs through retrieval-augmented generation (RAG) to automatically customize taxonomies for specific manufacturing processes and adopts two distinct strategies of using LLMs - In-Context Learning (ICL) and fine-tuning to complete manufacturing NER tasks with minimal training data. We demonstrate the framework efficiency through its superior ability to define precise taxonomies, identify and classify process-level entities related to the most popular additive manufacturing process fused deposition modeling (FDM) as case study, achieving a high F1 score of 0.9192."
228,J,Artificial intelligence for energy materials research: From classical machine learning to large models,ENGINEERING ENERGY,,"With the global energy system transitioning to renewable energy, high-efficiency energy storage and conversion technologies have become crucial. However, traditional research paradigms for the research and development (R&D) of energy materials such as batteries and electrocatalysts present the limitations in efficiency. This review systematically summarizes the progress of artificial intelligent (AI) in this field, ranging from classical machine learning (ML) to advanced representation methods such as graph neural networks (GNNs) and transformers that enable precise property prediction and structure generation. It also covers generative models for inverse design and large language models (LLMs) for knowledge extraction, along with key domain databases. Current challenges include limited interpretability and the underutilization of emerging AI technologies. Finally, this review discusses future directions such as the applications of multimodal language models, aiming to provide insights for accelerating high-performance energy materials innovation and advancing the global renewable energy transition."
229,J,API comparison knowledge extraction via prompt-tuned language model,JOURNAL OF COMPUTER LANGUAGES,,"Application Programming Interfaces (APIs) are frequent in software engineering domain texts, such as API references and Stack Overflow. These APIs and the comparison knowledge between them are not only important for solving programming issues (e.g., question answering), but they are also organized into structured knowledge to support many software engineering tasks (e.g., API misuse detection). As a result, extracting API comparison knowledge (API entities and semantic relations) from texts is essential. Existing rule-based and sequence labeling-based approaches must manually enumerate all linguistic patterns or label a large amount of data. Therefore, they involve a significant labor overhead and are exacerbated by morphological and common-word ambiguity. In contrast to matching or labeling API entities and relations, we formulates heterogeneous API extraction and API relation extraction tasks as a sequence-to-sequence generation task. It proposes APICKnow, an API entity-relation joint extraction model based on the large language model. To improve our model's performance and quick learning ability, we adopt the prompt learning method to stimulate APICKnow to recognize API entities and relations. We systematically evaluate APICKnow on a set of sentences from Stack Overflow. The experimental results show that APICKnow can outperform the state-of-the-art baselines, and APICKnow has a quick learning ability and strong generalization ability."
230,J,A GPT-assisted iterative method for extracting domain knowledge from a large volume of literature of electromagnetic wave absorbing materials with limited manually annotated data,COMPUTATIONAL MATERIALS SCIENCE,,"Research on electromagnetic wave absorbing materials is an important part of materials science. Each year, a substantial amount of academic literature is published in this field, containing critical information. Rapid and effective knowledge extraction from these documents is key to accelerating field development, and automated knowledge extraction based on deep learning provides a solution to this challenge. However, deep learning models typically require extensive annotated data for training, which is time-consuming and expensive to obtain in highly specialized subfields. To address this issue, this paper presents a GPT-assisted iterative training method that uses only 30 manually annotated literature abstracts as a training set and ultimately achieves an F1 score of 82.94% for a named entity recognition model (NER). The effectiveness of this model is demonstrated by comparing with other large language models commonly used in materials science on a custom dataset. We constructed a knowledge extraction framework centered around the obtained NER model and collected literature on electromagnetic wave absorbing materials from the last decade. The extraction and application results demonstrate the practicality of our framework."
231,J,Agent-based learning of materials datasets from the scientific literature,DIGITAL DISCOVERY,,"Advancements in machine learning and artificial intelligence are transforming the discovery of materials. While the vast corpus of scientific literature presents a valuable and rich resource of experimental data that can be used for training machine learning models, the availability and accessibility of these data remains a bottleneck. Accessing these data by manual dataset creation is limited due to issues in maintaining quality and consistency, scalability limitations, and the risk of human error and bias. Therefore, in this work, we develop a chemist AI agent, powered by large language models (LLMs), to overcome these limitations by autonomously creating structured datasets from natural language text, ranging from sentences and paragraphs to extensive scientific research articles and extract guidelines for designing materials with desired properties. Our chemist AI agent, Eunomia, can plan and execute actions by leveraging the existing knowledge from decades of scientific research articles, scientists, the Internet and other tools altogether. We benchmark the performance of our approach in three different information extraction tasks with various levels of complexity, including solid-state impurity doping, metal-organic framework (MOF) chemical formula, and property relationships. Our results demonstrate that our zero-shot agent, with the appropriate tools, is capable of attaining performance that is either superior or comparable to the state-of-the-art fine-tuned material information extraction methods. This approach simplifies compilation of machine learning-ready datasets for the applications of discovery of various materials, and significantly eases the accessibility of advanced natural language processing tools for novice users in natural language. The methodology in this work is developed as open-source software on https://github.com/AI4ChemS/Eunomia."
232,J,From unstructured text to structured reasoning: a hybrid knowledge graph for Indonesian sentencing analysis,ARTIFICIAL INTELLIGENCE AND LAW,,"Indonesian court decisions contain rich legal knowledge about how judges interpret statutes, assess evidence, and determine sentences, yet much of this remains hidden in semi-structured, inconsistent documents. Rule-based systems fail on lengthy narratives, while machine learning models overfit to noise, and large language models risk factual errors. This study introduces a hybrid framework that combines rule-based extraction for structured sections with a BERT-based pipeline for narrative text. This framework was developed using a dataset of 9,109 narcotics and corruption cases; from this corpus, seven legal experts manually annotated 200 decisions. A relevance filter cleaned the text before entity extraction using fine-tuned LegalBERT. The entity extraction pipeline achieved an average F1-score of 84.39% across both domains (86.1% for corruption cases and 82.3% for narcotics cases), and the resulting knowledge graph enabled sentence length prediction with 85% accuracy, i.e., a 56.9% point improvement over full-text baselines that reached only 26-28% despite 95% training accuracy. This notable performance gap suggests that structured graph representations may better capture legally meaningful patterns that unstructured text alone tends to miss. Our study introduces what we believe is the first legal knowledge graph of Indonesian court decisions."
233,J,A deep learning based method for identifying product manufacturing information in engineering drawings,JOURNAL OF INTELLIGENT MANUFACTURING,,"Product Manufacturing Information (PMI) in engineering drawings (EDs) is critical for intelligent manufacturing, with its efficient and accurate extraction being pivotal to automating process design. This study proposes a hybrid framework integrating computer vision, deep learning, and multimodal large language model (MLLM) to tackle challenges in PMI extraction, such as scattered text distribution and complex specialized symbols. The framework implements a multi-stage processing workflow comprising object detection, rotation normalization, text recognition, and general information extraction. It innovatively employs oriented rotated box (OBB) detection and a four-class classification model to significantly improve PMI block identification accuracy. The research develops a hybrid text parsing architecture that seamlessly combines object detection and Optical Character Recognition (OCR), successfully extracting specialized content like tolerances and surface roughness. By leveraging structured prompts to drive the MLLM, the approach enables cross-format information extraction. Experimental results show that the proposed method outperforms existing technologies in PMI recognition accuracy and processing efficiency. Specifically, it achieves text recognition accuracies of 72% for local PMI, 87% for dimensional tolerance, 91% for geometric tolerance, and 88% for surface roughness, providing a comprehensive solution for automated PMI extraction in intelligent manufacturing."
234,C,Comparative Study on Automatic Extraction of Genealogical Data from Ancient Text by Using Large Language Models and Open AI,"INTELLIGENT DISTRIBUTED COMPUTING XVII, IDC 2024",17th International Symposium on Intelligent Distributed Systems-IDC-Annual,"Genealogy extraction from ancient texts is a challenging but significant task for genealogical research due to its historical data. To explore each family history, one has to read large amounts of text to find the depth of the relationships between characters. Recent advancements in Natural Language Processing (NLP), especially for information extraction and visualization, have become significantly more accurate, convenient, and interactive due to Artificial Intelligence (AI) integration, enabling them to handle complex language tasks with ever-increasing accuracy through continuous learning from data. This paper first explores the application of modern information extraction (IE) for automated genealogy extraction from ancient texts by incorporating the advanced large language modeling capabilities through OpenAI's GPT models that are integrated into the LangChain framework. This approach not only identifies genealogical information but also interprets and contextualizes relationships using advanced natural language understanding capabilities. The LangChain framework facilitates a seamless connection between OpenAI's GPT (generative pre-trained transformer) models and the Neo4j graph database, enabling the construction of dynamic and context-aware family trees. Then this paper compares the strengths and limitations of the automatic extraction of genealogical data from unstructured ancient texts using GPT models."
235,J,CTI-Thinker: an LLM-driven system for CTI knowledge graph construction and attack reasoning,CYBERSECURITY,,"With the increasing frequency of APT attacks, cyber defense urgently demands high-quality threat intelligence support. Cyber threat intelligence (CTI) knowledge graphs have demonstrated significant potential in aiding threat detection and behavioral reasoning. However, existing CTI data often suffer from unstructured formats, fragmented knowledge, a reliance on manual annotation, and limited semantic mapping to attack techniques. These limitations hinder the robustness and accuracy of downstream reasoning tasks (e.g., attack attribution and intent inference). Moreover, traditional information extraction methods struggle to generalize in scenarios involving cross-paragraph dependencies, emerging threats, and low-resource samples, exhibiting weaknesses in context awareness and sensitivity to prompt variations. To this end, we propose CTI-Thinker, a novel system that integrates large language models with semantic alignment to the ATT&CK framework for CTI knowledge graph construction and threat reasoning. First, CTI-Thinker leverages in-context learning and LoRA-based fine-tuning to extract structured threat entities and relations. Then, it adopts vector-based alignment strategies to unify heterogeneous expressions, enabling entity normalization and knowledge fusion for constructing a high-quality CTI knowledge graph. Finally, a GraphRAG-based reasoning engine is built by incorporating the structured knowledge graph and external ATT&CK resources into a retrieval-augmented generation (RAG) framework, enabling tactical-level inference and CTI-driven question answering. Experimental results demonstrate that CTI-Thinker accurately extracts threat entities and relations and constructs a reliable CTI knowledge graph. It also effectively infers attack intent and supports intelligent reasoning. The system outperforms state-of-the-art methods in precision, robustness, and generalizability, offering a scalable and semantically enriched solution for cyber threat analysis and defense."
